column,type,description,source,usage
fact_id,BIGINT,Stable surrogate key for one row in the final analytical fact table. It follows the source infectious-disease CSV row order.,Generated by the SQL builder from source row order.,Use only as a row identifier; do not aggregate it as a health measure.
source_dataset,VARCHAR,Name of the source fact dataset. For this final table the value is always infectious_diseases.,Generated constant.,Useful when a future backend exposes several fact tables.
source_row_id,BIGINT,One-based row number from data/raw/infectious_diseases.csv.,Generated from source CSV row order.,Traceability back to the raw source table.
report_year,INTEGER,Year when the infectious-disease case was reported.,infectious_diseases.rok,Filter or group by year. The loaded source spans 2018-2025.
report_month,INTEGER,"Month when the infectious-disease case was reported, encoded as 1-12.",infectious_diseases.mesic,Filter or group by month for seasonality-style questions.
period_yyyymm,INTEGER,Compact year-month key in YYYYMM form.,Derived as report_year * 100 + report_month.,Sort or filter month-level periods without building dates.
date_grain,VARCHAR,Temporal grain of the source fact row. The value is always month.,Generated constant.,Helps downstream code avoid treating the table as daily or patient-level data.
region_code,VARCHAR,Official Czech regional code for the reporting region.,infectious_diseases.kraj_kod,Use for exact region filters such as CZ010 for Prague.
region_name_cs,VARCHAR,Official Czech region label.,infectious_diseases.kraj_nazev,Display label for grouped regional answers.
diagnosis_code,VARCHAR,Three-character diagnosis code reported in the infectious-disease table.,infectious_diseases.diagnoza,Primary disease filter value. KG-RAG should expand disease-family concepts to this column before aggregation.
diagnosis_name_cs,VARCHAR,Czech diagnosis label as used in the infectious-disease table.,infectious_diseases.diagnoza_nazev,Display label beside diagnosis_code in final answer tables.
mkn_code,VARCHAR,Matching MKN-10-CZ code from the official code list.,mkn10_cz.kod matched by diagnosis_code.,Trace the fact diagnosis to the official MKN-10-CZ code list.
mkn_code_with_dot,VARCHAR,"MKN-10-CZ dotted code form, if different from the plain code.",mkn10_cz.kod_tecka.,Useful when displaying official code-list values.
mkn_name_cs,VARCHAR,Official Czech MKN-10-CZ diagnosis label.,mkn10_cz.nazev.,Use for terminology checks against diagnosis_name_cs.
mkn_iri,VARCHAR,Official IRI for the MKN-10-CZ code.,mkn10_cz.kod_IRI.,Semantic traceability link for KG/entity answers.
mkn_block_code,VARCHAR,"Derived MKN-10 block/range containing the diagnosis code, such as A00-A09.",Derived from configured MKN-10 block ranges because the source CSV has chapters but no explicit block column.,Main KG-RAG expansion column for disease-family queries.
mkn_block_name_cs,VARCHAR,Czech label for the derived MKN-10 block.,Configured derived block ranges.,Display or filter disease-family scopes such as Střevní infekční nemoci.
mkn_block_source,VARCHAR,Provenance note for the block assignment.,Generated constant for derived block assignments.,"Documents that MKN block is derived, not directly present in the source CSV."
mkn_chapter_range,VARCHAR,"MKN-10-CZ chapter code range, for example A00-B99.",mkn10_cz.kod_kapitola_rozsah.,Higher-level grouping above block.
mkn_chapter_number,VARCHAR,"MKN-10-CZ chapter number, for example I.",mkn10_cz.kod_kapitola_cislo.,Display chapter identifiers.
mkn_chapter_name_cs,VARCHAR,Czech MKN-10-CZ chapter label.,mkn10_cz.nazev_kapitola.,Display higher-level disease category context.
has_mkn_match,BOOLEAN,True when diagnosis_code matched the official MKN-10-CZ code list.,Derived from the join to mkn10_cz.,Quality-control filter. It should be true for all current infectious-disease diagnosis values.
age_group_code,VARCHAR,Official NZIS age-group code.,infectious_diseases.vek_kod.,Exact age-group filtering and grouping.
age_group_name_cs,VARCHAR,Czech age-group label used in the infectious-disease table.,infectious_diseases.vek_nazev.,Display label for grouped age answers.
age_from_inclusive,INTEGER,"Lower bound of the age group, inclusive.",age_groups.vek_od_vcetne joined by age_group_code.,Normalize informal age concepts such as children or seniors 65+.
age_to_inclusive,INTEGER,"Upper bound of the age group, inclusive. The open-ended 75+ group uses the source code-list upper bound.",age_groups.vek_do_vcetne joined by age_group_code.,Normalize interval questions and sort age groups.
has_age_group_match,BOOLEAN,True when age_group_code matched the official NZIS age-group code list.,Derived from the join to age_groups.,Quality-control filter.
sex_code,VARCHAR,"Sex category from the source table. M = muž, Z = žena.",infectious_diseases.pohlavi.,Filter or group by sex when needed.
sex_name_cs,VARCHAR,Czech display label for sex_code.,Derived from sex_code.,Display label in final answers.
ews_code,INTEGER,"EWS value from the infectious-disease source table. It is retained as a source dimension/code, not interpreted clinically by this project.",infectious_diseases.EWS.,Use only if a future question explicitly needs this source field.
reported_case_count,BIGINT,Reported case-count measure for the aggregate row.,infectious_diseases.pocet_pripadu.,Main measure to sum in answer SQL. Do not describe it as unique patients or incidence.
